CAMPUS,CAMPNAME,C_RATING,GRDSPAN,GRDTYPE
'001902001,CAYUGA H S,A,'09 - 12,S
'001902041,CAYUGA MIDDLE,B,'06 - 08,M
'001902103,CAYUGA EL,A,'PK - 05,E
'001903001,ELKHART H S,B,'09 - 12,S
'001903002,ELKHART DAEP,Not Rated,'08 - 10,S
'001903041,ELKHART MIDDLE,B,'06 - 08,M
'001903101,ELKHART EL,A,'PK - 02,E
'001903102,ELKHART INT,A,'03 - 05,E
'001904001,FRANKSTON H S,B,'09 - 12,S
'001904041,FRANKSTON MIDDLE,B,'06 - 08,M
'001904102,FRANKSTON EL,C,'EE - 05,E
'001906002,NECHES H S,A,'09 - 12,S
'001906102,NECHES EL,C,'PK - 08,E
'001907001,PALESTINE H S,B,'09 - 12,S
'001907041,PALESTINE J H,B,'07 - 08,M
'001907101,NORTHSIDE PRI,B,'KG - 01,E
'001907102,WASHINGTON EARLY CHILDHOOD CENTER,B,'EE - PK,E
'001907107,SOUTHSIDE EL,B,'02 - 03,E
'001907110,STORY INT,D,'04 - 06,E
'001908002,WESTWOOD H S,B,'09 - 12,S
'001908041,WESTWOOD J H,C,'07 - 08,M
'001908101,WESTWOOD EL,F,'02 - 06,E
'001908102,WESTWOOD PRI,F,'EE - 02,E
'001909001,SLOCUM H S,A,'09 - 12,S
'001909101,SLOCUM PK - 8,B,'PK - 08,E
'002901001,ANDREWS H S,B,'08 - 12,S
'002901002,ANDREWS EDUCATION CENTER,C,'09 - 12,S
'002901041,ANDREWS MIDDLE,C,'06 - 08,M
'002901101,DEVONIAN EL,C,'02 - 03,E
'002901104,UNDERWOOD EL,D,'04 - 05,E
'002901105,CLEARFORK EL,C,'EE - 01,E
'003801001,PINEYWOODS COMMUNITY ACADEMY H S,A,'09 - 12,S
'003801042,DR TERRY ROBBINS MIDDLE,C,'06 - 08,M
'003801103,SARAH STRINDEN EL,A,'PK - 05,E
'003902001,HUDSON H S,A,'09 - 12,S
'003902004,STUBBLEFIELD LRN CTR,D,'10 - 12,S
'003902041,HUDSON MIDDLE,B,'06 - 08,M
'003902101,W F PEAVY PRI,B,'EE - 02,E
'003902102,W H BONNER EL,B,'03 - 05,E
'003903001,LUFKIN H S,B,'08 - 12,S
'003903004,STUBBLEFIELD LRN CTR,C,'09 - 12,S
'003903044,LUFKIN MIDDLE,B,'06 - 08,M
'003903120,ANDERSON EL,B,'03 - 05,E
'003903121,BRANDON EL,B,'03 - 05,E
'003903122,BROOKHOLLOW EL,C,'03 - 05,E
'003903123,COSTON EL,B,'03 - 05,E
'003903124,DUNBAR PRI,B,'KG - 02,E
'003903125,GARRETT PRI,B,'PK - PK,E
'003903126,HACKNEY PRI,B,'PK - PK,E
'003903127,HERTY PRI,B,'EE - 02,E
'003903128,KURTH PRI,B,'PK - 02,E
'003903129,SLACK EL,C,'02 - 05,E
'003903130,TROUT PRI,C,'EE - 02,E
'003903131,BURLEY PRI,C,'KG - 02,E
'003903141,SPECIAL SERVICES,Not Rated,'EE - KG,E
'003903201,JUVENILE DETENT CTR,Not Rated,'06 - 11,B
'003904001,HUNTINGTON H S,B,'09 - 12,S
'003904005,PRIDE ALTER SCH,C,'10 - 12,S
'003904041,HUNTINGTON MIDDLE,B,'06 - 08,M
'003904101,HUNTINGTON EL,C,'EE - 03,E
'003904102,HUNTINGTON INT,B,'04 - 05,E
'003905001,DIBOLL H S,B,'09 - 12,S
'003905004,STUBBLEFIELD LRN CTR,Not Rated,'11 - 12,S
'003905041,DIBOLL J H,B,'06 - 08,M
'003905101,H G TEMPLE EL,B,'KG - 02,E
'003905102,DIBOLL PRI,B,'PK - PK,E
'003905103,H G TEMPLE INT,B,'03 - 05,E
'003906001,ZAVALLA H S,B,'06 - 12,B
'003906101,ZAVALLA EL,C,'PK - 05,E
'003907001,CENTRAL H S,B,'09 - 12,S
'003907004,STUBBLEFIELD LRN CTR,Not Rated,'12 - 12,S
'003907041,CENTRAL J H,A,'05 - 08,M
'003907102,CENTRAL EL,C,'EE - 04,E
'004901001,ROCKPORT-FULTON H S,B,'09 - 12,S
'004901041,ROCKPORT-FULTON MIDDLE,C,'06 - 08,M
'004901101,FULTON LEARNING CENTER,C,'03 - 05,E
'004901102,DISCOVERY LEARNING CENTER,C,'EE - PK,E
'004901103,LIVE OAK LEARNING CENTER,C,'KG - 02,E
'005901001,ARCHER CITY H S,A,'07 - 12,S
'005901101,ARCHER CITY EL,A,'PK - 06,E
'005902001,HOLLIDAY H S,A,'09 - 12,S
'005902041,HOLLIDAY MIDDLE,B,'06 - 08,M
'005902101,HOLLIDAY EL,C,'EE - 05,E
'005904001,WINDTHORST H S,A,'09 - 12,S
'005904041,WINDTHORST JH,B,'06 - 08,M
'005904101,WINDTHORST EL,A,'PK - 05,E
'006902001,CLAUDE H S,B,'07 - 12,S
'006902101,CLAUDE EL,B,'PK - 06,E
'007901001,CHARLOTTE H S,B,'09 - 12,S
'007901003,DISTRICT REASSIGNMENT & OPPORTUNIT,Not Rated,'07 - 07,M
'007901041,CHARLOTTE MIDDLE,C,'05 - 08,M
'007901101,CHARLOTTE EL,D,'EE - 04,E
'007902001,JOURDANTON H S,B,'09 - 12,S
'007902005,ATASCOSA COUNTY JUVENILE JUSTICE C,Not Rated,'08 - 12,S
'007902006,JOURDANTON DAEP,Not Rated,'05 - 11,B
'007902041,JOURDANTON J H,B,'06 - 08,M
'007902101,JOURDANTON EL,D,'EE - 05,E
'007904001,LYTLE H S,C,'09 - 12,S
'007904002,LYTLE DAEP,Not Rated,'06 - 12,B
'007904003,JJAEP,Not Rated,'09 - 12,S
'007904041,LYTLE J H,D,'06 - 08,M
'007904101,LYTLE EL,D,'02 - 05,E
'007904103,LYTLE PRIMARY SCHOOL,D,'PK - 01,E
'007905001,PLEASANTON H S,B,'09 - 12,S
'007905004,ATASCOSA CO ALTER,Not Rated,'09 - 09,S
'007905005,PLEASANTON ISD SCHOOL OF CHOICE,B,'11 - 12,S
'007905041,PLEASANTON J H,D,'06 - 08,M
'007905103,PLEASANTON EL,F,'02 - 05,E
'007905105,PLEASANTON PRI,F,'EE - 01,E
'007906001,POTEET H S,B,'09 - 12,S
'007906003,ATASCOSA CO JUVENILE UNIT,Not Rated,'07 - 11,S
'007906041,POTEET J H,C,'06 - 08,M
'007906101,POTEET EL,D,'EE - 03,E
'007906102,POTEET INT,C,'04 - 05,E
'008901001,BELLVILLE H S,B,'09 - 12,S
'008901041,BELLVILLE J H,B,'06 - 08,M
'008901101,O'BRYANT PRI,C,'EE - 03,E
'008901102,O'BRYANT INT,C,'04 - 05,E
'008901105,WEST END EL,B,'KG - 05,E
'008902001,SEALY H S,B,'09 - 12,S
'008902041,SEALY J H,C,'06 - 08,M
'008902102,SELMAN EL,B,'EE - 05,E
'008902104,SEALY EL,D,'PK - 05,E
'008903001,BRAZOS H S,B,'09 - 12,S
'008903041,BRAZOS MIDDLE,A,'06 - 08,M
'008903102,BRAZOS EL,D,'EE - 05,E
'008903103,PRAIRIE HARBOR ALTERNATIVE SCHOOL,Not Rated,'04 - 12,B
'009901001,MULESHOE H S,B,'09 - 12,S
'009901002,P E P,Not Rated,'09 - 12,S
'009901041,WATSON J H,C,'06 - 08,M
'009901101,MARY DESHAZO EL,F,'03 - 05,E
'009901103,DILLMAN EL,F,'EE - 02,E
'010901001,MEDINA SCHOOL,B,'PK - 12,B
'010902001,BANDERA H S,B,'09 - 12,S
'010902041,BANDERA MIDDLE,D,'06 - 08,M
'010902101,ALKEK EL,C,'EE - 05,E
'010902102,HILL COUNTRY EL,C,'PK - 05,E
'011901001,BASTROP H S,B,'09 - 12,S
'011901002,CEDAR CREEK H S,B,'09 - 12,S
'011901005,COLORADO RIVER COLLEGIATE ACADEMY,A,'09 - 12,S
'011901022,GENESIS H S,C,'09 - 12,S
'011901041,BASTROP MIDDLE,C,'07 - 08,M
'011901101,EMILE EL,D,'PK - 04,E
'011901102,MINA EL,B,'EE - 04,E
'011901103,CEDAR CREEK EL,C,'EE - 04,E
'011901104,BASTROP INT,C,'05 - 06,M
'011901106,CEDAR CREEK MIDDLE,C,'07 - 08,M
'011901107,RED ROCK EL,F,'PK - 04,E
'011901108,CEDAR CREEK INT,D,'05 - 06,M
'011901109,BLUEBONNET EL,D,'PK - 04,E
'011901110,LOST PINES EL,F,'PK - 04,E
'011902001,ELGIN H S,B,'09 - 12,S
'011902003,BASTROP COUNTY JUVENILE BOOT CAMP,Not Rated,'10 - 10,S
'011902004,PHOENIX H S,C,'09 - 12,S
'011902041,ELGIN MIDDLE,D,'06 - 08,M
'011902101,BOOKER T WASHINGTON EL,D,'KG - 05,E
'011902102,ELGIN EL,C,'EE - 05,E
'011902103,NEIDIG EL,F,'KG - 05,E
'011904002,SMITHVILLE H S,B,'09 - 12,S
'011904041,SMITHVILLE J H,C,'06 - 08,M
'011904101,SMITHVILLE EL,D,'03 - 05,E
'011904102,BROWN PRI,D,'EE - 02,E
'011905001,MCDADE H S,C,'06 - 12,B
'011905101,MCDADE EL,B,'PK - 05,E
'012901001,SEYMOUR H S,A,'09 - 12,S
'012901042,SEYMOUR MIDDLE,B,'05 - 08,M
'012901101,SEYMOUR EL,A,'PK - 04,E
'013801101,ST MARY'S ACADEMY CHARTER SCHOOL,B,'KG - 06,E
'013901001,A C JONES H S,C,'09 - 12,S
'013901004,A C JONES HEALTH PROFESSIONS MAGNE,A,'09 - 10,S
'013901041,MORENO J H,D,'06 - 08,M
'013901042,THE JOE BARNHART ACADEMY,A,'06 - 08,M
'013901101,R A HALL EL,C,'01 - 05,E
'013901102,FADDEN-MCKEOWN-CHAMBLISS EL,D,'01 - 05,E
'013901105,HAMPTON-MORENO-DUGAT EARLY CHILDHO,C,'EE - KG,E
'013902101,PAWNEE EL / J H,B,'PK - 08,E
'013903001,PETTUS SECONDARY,D,'06 - 12,B
'013903101,PETTUS EL,B,'PK - 05,E
'013905001,SKIDMORE-TYNAN H S,A,'09 - 12,S
'013905041,SKIDMORE-TYNAN J H,A,'06 - 08,M
'013905101,SKIDMORE-TYNAN EL,B,'EE - 05,E
'014801001,RICHARD MILBURN ALTER H S (KILLEEN,D,'09 - 12,S
'014801002,RICHARD MILBURN ACADEMY ODESSA,D,'09 - 12,S
'014801004,RICHARD MILBURN ACADEMY LUBBOCK,D,'09 - 12,S
'014801005,RICHARD MILBURN ACADEMY HOUSTON (S,B,'09 - 12,S
'014801006,RICHARD MILBURN ACADEMY FORT WORTH,D,'09 - 12,S
'014801007,RICHARD MILBURN ACADEMY CORPUS CHR,D,'09 - 12,S
'014801008,RICHARD MILBURN ACADEMY AMARILLO,D,'09 - 12,S
'014801009,RICHARD MILBURN ACADEMY PASADENA,F,'09 - 12,S
'014801010,RICHARD MILBURN ACADEMY MIDLAND SO,F,'09 - 12,S
'014803002,GEORGETOWN CHARTER ACADEMY,C,'PK - 08,E
'014803003,COVE CHARTER ACADEMY,C,'PK - 12,B
'014803004,CEDAR PARK CHARTER ACADEMY,B,'PK - 12,B
'014803101,TEMPLE CHARTER ACADEMY,C,'PK - 12,B
'014804002,NEW HORIZONS,Not Rated,'02 - 10,B
'014804005,GATEWAY TECH H S,A,'09 - 12,S
'014804006,GATEWAY COLLEGE PREPARATORY SCHOOL,A,'KG - 12,B
'014804007,NOLAN CREEK SCHOOL,D,'KG - 06,E
'014804008,KINGSLAND SCHOOL,D,'KG - 08,E
'014901001,ACADEMY H S,B,'09 - 12,S
'014901041,ACADEMY J H,B,'06 - 08,M
'014901101,ACADEMY INT,B,'03 - 05,E
'014901102,ACADEMY EL,B,'EE - 02,E
'014902001,BARTLETT SCHOOLS,C,'PK - 12,B
'014903001,BELTON H S,B,'09 - 12,S
'014903005,BELTON NEW TECH H S AT WASKOW,A,'09 - 12,S
'014903043,LAKE BELTON MIDDLE,C,'06 - 08,M
'014903044,SOUTH BELTON MIDDLE,C,'06 - 08,M
'014903045,NORTH BELTON MIDDLE,B,'06 - 08,M
'014903102,LEON HEIGHTS EL,C,'KG - 05,E
'014903103,MILLER HEIGHTS EL,C,'KG - 05,E
'014903104,SOUTHWEST EL,D,'KG - 05,E
'014903108,LAKEWOOD EL,A,'KG - 05,E
'014903109,SPARTA EL,B,'KG - 05,E
'014903111,JOE M PIRTLE EL,B,'KG - 05,E
'014903116,TARVER EL,B,'KG - 05,E
'014903117,HIGH POINT EL,B,'KG - 05,E
'014903118,CHISHOLM TRAIL EL,C,'KG - 05,E
'014903119,BELTON EARLY CHILDHOOD SCHOOL,B,'EE - PK,E
'014905001,HOLLAND H S,A,'09 - 12,S
'014905041,HOLLAND MIDDLE,A,'06 - 08,M
'014905101,HOLLAND EL,B,'EE - 05,E
'014906001,KILLEEN H S,B,'09 - 12,S
'014906002,ELLISON H S,B,'09 - 12,S
'014906004,GATEWAY H S,Not Rated,'09 - 12,S
'014906006,PATHWAYS ACADEMIC CAMPUS,B,'09 - 12,S
'014906007,HARKER HEIGHTS H S,B,'09 - 12,S
'014906008,ROBERT M SHOEMAKER H S,C,'09 - 12,S
'014906009,GATEWAY MIDDLE,Not Rated,'06 - 08,M
'014906013,KILLEEN ISD H S,A,'09 - 12,S
'014906022,METROPLEX SCHOOL,Not Rated,'KG - 12,B
'014906026,KILLEEN JJAEP,Not Rated,'11 - 11,S
'014906042,NOLAN MIDDLE,C,'06 - 08,M
'014906043,RANCIER MIDDLE,C,'06 - 08,M
'014906044,MANOR MIDDLE,D,'06 - 08,M
'014906046,EASTERN HILLS MIDDLE,C,'06 - 08,M
'014906048,PALO ALTO MIDDLE,F,'06 - 08,M
'014906049,LIBERTY HILL MIDDLE,C,'06 - 08,M
'014906050,LIVE OAK RIDGE MIDDLE,D,'06 - 08,M
'014906051,UNION GROVE MIDDLE,A,'06 - 08,M
'014906052,AUDIE MURPHY MIDDLE,B,'06 - 08,M
'014906053,CHARLES E PATTERSON MIDDLE,C,'06 - 08,M
'014906054,ROY J SMITH MIDDLE,B,'06 - 08,M
'014906100,EL ALTER LEARNING CENTER,Not Rated,'01 - 05,E
'014906102,CLIFTON PARK EL,B,'PK - 05,E
'014906103,EAST WARD EL,C,'PK - 05,E
'014906105,HARKER HEIGHTS EL,B,'PK - 05,E
'014906108,MEADOWS EL,D,'PK - 05,E
'014906109,PEEBLES EL,C,'PK - 05,E
'014906110,PERSHING PARK EL,C,'PK - 05,E
'014906111,SUGAR LOAF EL,D,'PK - 05,E
'014906112,WEST WARD EL,F,'PK - 05,E
'014906113,BELLAIRE EL,C,'PK - 05,E
'014906115,NOLANVILLE EL,C,'EE - 05,E
'014906116,CLARKE EL,A,'PK - 03,E
'014906119,HAY BRANCH EL,C,'PK - 05,E
'014906120,WILLOW SPRINGS EL,D,'PK - 05,E
'014906121,MOUNTAIN VIEW EL,C,'EE - 05,E
'014906122,REECES CREEK EL,C,'PK - 05,E
'014906123,CLEAR CREEK EL,A,'PK - 05,E
'014906124,CEDAR VALLEY EL,B,'PK - 05,E
'014906125,BROOKHAVEN EL,B,'EE - 05,E
'014906126,VENABLE VILLAGE EL,B,'EE - 05,E
'014906127,TRIMMIER EL,C,'EE - 05,E
'014906128,MONTAGUE VILLAGE EL,B,'PK - 05,E
'014906129,MAXDALE EL,C,'EE - 05,E
'014906130,IRA CROSS JR EL,B,'PK - 05,E
'014906131,IDUMA EL,C,'PK - 05,E
'014906132,OVETA CULP HOBBY EL,B,'EE - 03,E
'014906133,TIMBER RIDGE EL,C,'PK - 05,E
'014906135,SAEGERT EL,B,'EE - 05,E
'014906136,SKIPCHA EL,B,'PK - 05,E
'014906137,RICHARD E CAVAZOS EL,B,'EE - 05,E
'014906138,HAYNES EL,C,'PK - 05,E
'014906139,DR JOSEPH A FOWLER EL,B,'PK - 05,E
'014906140,ALICE W DOUSE EL,B,'PK - 05,E
'014907001,ROGERS H S,B,'09 - 12,S
'014907041,ROGERS MIDDLE,B,'06 - 08,M
'014907043,BELL COUNTY DAEP,Not Rated,'09 - 09,S
'014907102,ROGERS EL,B,'EE - 05,E
'014908001,SALADO H S,B,'09 - 12,S
'014908005,BELL COUNTY DAEP,Not Rated,'09 - 09,S
'014908042,SALADO J H,B,'06 - 08,M
'014908102,THOMAS ARNOLD EL,B,'EE - 05,E
'014909002,TEMPLE H S,B,'09 - 12,S
'014909005,WHEATLEY ALTERNATIVE EDUCATION CEN,Not Rated,'05 - 11,B
'014909008,FRED W EDWARDS ACADEMY AEC,C,'09 - 12,S
'014909041,LAMAR MIDDLE,D,'06 - 08,M
'014909042,TRAVIS SCIENCE ACADEMY,D,'06 - 08,M
'014909044,BONHAM MIDDLE,C,'06 - 08,M
'014909101,MERIDITH-DUNBAR EARLY CHILDHOOD AC,B,'EE - PK,E
'014909102,CATER EL,C,'KG - 05,E
'014909107,JEFFERSON EL,B,'KG - 05,E
'014909110,SCOTT EL,C,'KG - 05,E
'014909111,THORNTON EL,D,'KG - 05,E
'014909114,WESTERN HILLS EL,B,'KG - 05,E
'014909116,RAYE-ALLEN EL,B,'EE - 05,E
'014909117,KENNEDY-POWELL EL,B,'KG - 05,E
'014909118,HECTOR P GARCIA EL,B,'KG - 05,E
'014910001,TROY H S,A,'09 - 12,S
'014910041,RAYMOND MAYS MIDDLE,B,'06 - 08,M
'014910101,TROY EL,B,'02 - 05,E
'014910103,EDNA BIGHAM MAYS EL,B,'EE - 01,E
'015801001,POR VIDA ACADEMY CHARTER H S,C,'09 - 12,S
'015801002,CORPUS CHRISTI COLLEGE PREP H S,C,'09 - 12,S
'015801003,CESAR E CHAVEZ ACADEMY,F,'09 - 12,S
'015802001,GEORGE GERVIN ACADEMY,Data Integrity Issues,'PK - 12,B
'015802004,RUTH JONES MCCLENDON MIDDLE,B,'06 - 12,B
'015805001,FRANK L MADLA H S,A,'09 - 12,S
'015805041,FRANK L MADLA ACCELERATED COLLEGIA,C,'PK - 08,E
'015806003,MILTON B LEE ACADEMY OF SCIENCE &,B,'09 - 12,S
'015806041,DR PAUL S SAENZ J H,C,'07 - 08,M
'015806101,DR HARMON W KELLEY EL,C,'PK - 06,E
'015806106,DR DAVID C WALKER EL,F,'PK - 06,E
'015807001,SOUTHWEST PREPARATORY SCHOOL,F,'PK - 05,E
'015807002,SOUTHWEST PREPARATORY SOUTHEAST CA,C,'PK - 12,B
'015807004,SOUTHWEST PREPARATORY SCHOOL-NORTH,A,'06 - 12,B
'015807005,NEW DIRECTIONS,B,'06 - 12,B
'015807101,SOUTHWEST PREP NORTHWEST EL,F,'PK - 05,E
'015807102,SEGUIN EL,F,'PK - 07,E
'015808001,JHW INSPIRE ACADEMY - AFTON OAKS,Not Rated,'06 - 12,B
'015808003,JHW INSPIRE ACADEMY - HAYS COUNTY,Not Rated,'06 - 12,B
'015808007,JHW INSPIRE ACADEMY - ROCKDALE,Not Rated,'07 - 11,S
'015808009,ANNE FRANK INSPIRE ACADEMY,C,'KG - 12,B
'015808010,JHW INSPIRE ACADEMY - MERIDELL,Not Rated,'05 - 12,B
'015808011,JHW INSPIRE ACADEMY - WILLIAMS HOU,Not Rated,'01 - 11,B
'015808012,JHW INSPIRE ACADEMY - LEGACY RANCH,Not Rated,'KG - 10,B
'015808014,JHW INSPIRE ACADEMY - BELL COUNTY,Not Rated,'07 - 11,S
'015809101,BEXAR COUNTY ACADEMY,D,'PK - 08,E
'015814001,POSITIVE SOLUTIONS CHARTER,D,'09 - 12,S
'015815001,HERITAGE ACADEMY OF WINDCREST,F,'PK - 04,E
'015815041,HERITAGE ACADEMY OF DEL RIO,A,'09 - 12,S
'015815042,HERITAGE ACADEMY OF DEL RIO MIDDLE,A,'04 - 08,M
'015815101,HERITAGE ACADEMY,A,'07 - 08,M
'015815104,HERITAGE ACADEMY OF SAN ANTONIO,A,'05 - 06,M
'015822001,JUBILEE SAN ANTONIO,D,'KG - 12,B
'015822002,JUBILEE HIGHLAND HILLS,F,'PK - 08,E
'015822004,JUBILEE - LAKE VIEW UNIVERSITY PRE,F,'PK - 12,B
'015822005,JUBILEE HIGHLAND PARK,C,'PK - 08,E
'015822006,JUBILEE KINGSVILLE,C,'PK - 08,E
'015822007,JUBILEE LIVING WAY,A,'PK - 05,E
'015822008,JUBILEE HARLINGEN,C,'PK - 07,E
'015822009,JUBILEE WELLS BRANCH,D,'PK - 09,B
'015822010,JUBILEE BROWNSVILLE,B,'PK - 12,B
'015822011,JUBILEE LEADERSHIP ACADEMY,F,'PK - 06,E
'015825001,LIGHTHOUSE CHARTER SCHOOL - B CAMP,C,'02 - 08,E
'015825101,LIGHTHOUSE CHARTER SCHOOL,Not Rated,'PK - 01,E
'015827001,SCHOOL OF SCIENCE AND TECHNOLOGY,A,'06 - 12,B
'015827002,SCHOOL OF SCIENCE AND TECHNOLOGY -,A,'KG - 08,E
'015827003,SCHOOL OF SCIENCE AND TECHNOLOGY H,D,'PK - 08,E
'015827004,SCHOOL OF SCIENCE AND TECHNOLOGY E,F,'PK - 06,E
'015828001,HARMONY SCIENCE ACAD (SAN ANTONIO),B,'06 - 12,B
'015828002,HARMONY SCHOOL OF INNOVATION - SAN,C,'PK - 08,E
'015828003,HARMONY SCIENCE ACADEMY - LAREDO,B,'06 - 08,M
'015828004,HARMONY SCHOOL OF INNOVATION - LAR,B,'KG - 05,E
'015828005,HARMONY SCIENCE ACADEMY - BROWNSVI,C,'PK - 08,E
'015828006,HARMONY SCHOOL OF EXCELLENCE - SAN,C,'PK - 05,E
'015828007,HARMONY SCHOOL OF INNOVATION - BRO,A,'06 - 12,B
'015828008,HARMONY SCHOOL OF EXCELLENCE - LAR,A,'09 - 12,S
'015830001,BROOKS ACADEMY OF SCIENCE AND ENGI,C,'PK - 12,B
'015830101,BROOKS COLLEGIATE ACADEMY,C,'PK - 11,B
'015830102,BROOKS ACADEMY LONESTAR,C,'KG - 05,E
'015830103,BROOKS ACADEMY OAKS,A,'PK - 05,E
'015831001,SCHOOL OF SCIENCE AND TECHNOLOGY D,B,'PK - 08,E
'015831002,SCHOOL OF SCIENCE AND TECHNOLOGY C,B,'PK - 12,B
'015831003,SCHOOL OF SCIENCE AND TECHNOLOGY A,A,'KG - 08,E
'015831004,SCHOOL OF SCIENCE AND TECHNOLOGY N,A,'PK - 06,E
'015831005,SCHOOL OF SCIENCE AND TECHNOLOGY S,B,'PK - 06,E
'015833001,HENRY FORD ACADEMY ALAMEDA SCHOOL,B,'09 - 12,S
'015834001,BASIS SAN ANTONIO- SHAVANO CAMPUS,A,'06 - 12,B
'015834002,BASIS SAN ANTONIO- PRI NORTH CENTR,B,'KG - 05,E
'015834101,BASIS SAN ANTONIO PRI- MEDICAL CEN,A,'KG - 05,E
'015835001,GREAT HEARTS MONTE VISTA,A,'KG - 05,E
'015835002,GREAT HEARTS MONTE VISTA NORTH,A,'06 - 12,B
'015835003,GREAT HEARTS NORTHERN OAKS,A,'KG - 10,B
'015835004,GREAT HEARTS IRVING,A,'KG - 10,B
'015835005,GREAT HEARTS WESTERN HILLS,F,'KG - 05,E
'015836001,ELEANOR KOLITZ HEBREW LANGUAGE ACA,A,'KG - 08,E
'015838001,COMPASS ROSE ACADEMY,B,'06 - 08,M
'015901001,ALAMO HEIGHTS H S,B,'09 - 12,S
'015901041,ALAMO HEIGHTS J H,A,'06 - 08,M
'015901101,CAMBRIDGE EL,C,'01 - 05,E
'015901102,HOWARD EL,A,'EE - KG,E
'015901104,WOODRIDGE EL,A,'01 - 05,E
'015904001,HARLANDALE H S,B,'09 - 12,S
'015904002,MCCOLLUM H S,B,'09 - 12,S
'015904003,HAC DAEP H S,Not Rated,'09 - 11,S
'015904004,FRANK M TEJEDA ACADEMY,C,'09 - 12,S
'015904007,BEXAR CO J J A E P,Not Rated,'07 - 11,S
'015904008,HARLANDALE ALTERNATIVE CENTER BOOT,Not Rated,'09 - 11,S
'015904010,FENLEY TRANSITIONAL H S,Not Rated,'09 - 12,S
'015904011,HARLANDALE ISD STEM ECHS-ALAMO COL,A,'09 - 12,S
'015904041,HARLANDALE MIDDLE,B,'06 - 08,M
'015904042,A LEAL JR MIDDLE,C,'06 - 08,M
'015904043,TERRELL WELLS MIDDLE,B,'06 - 08,M
'015904044,KINGSBOROUGH MIDDLE,B,'06 - 08,M
'015904045,HAC DAEP MIDDLE,Not Rated,'07 - 08,M
'015904046,HARLANDALE ALTERNATIVE CENTER BOOT,Not Rated,'08 - 08,M
'015904047,FENLEY TRANSITIONAL MIDDLE,Not Rated,'06 - 08,M
'015904048,TEJEDA JUNIOR ACADEMY,C,'08 - 08,M
'015904101,CARROLL BELL EL,C,'PK - 05,E
'015904102,BELLAIRE EL,D,'EE - 05,E
'015904103,COLLIER EL,B,'PK - 05,E
'015904104,COLUMBIA HEIGHTS EL,C,'PK - 05,E
'015904105,STONEWALL/FLANDERS EL,C,'PK - 05,E
'015904106,V M ADAMS EL,D,'PK - 05,E
'015904107,GILLETTE EL,A,'PK - 05,E
'015904108,H W SCHULZE EL,B,'PK - 05,E
'015904109,MORRILL EL,B,'PK - 05,E
'015904110,RAYBURN EL,C,'EE - 05,E
'015904113,VESTAL EL,B,'PK - 05,E
'015904114,WRIGHT EL,C,'PK - 05,E
'015904115,JEWEL C WIETZEL CENTER,Not Rated,'08 - 12,S
'015904116,E H GILBERT EL,C,'PK - 05,E
'015904117,COLLIER DAEP,Not Rated,'05 - 05,E
'015905002,JOHN F KENNEDY H S,C,'09 - 12,S
'015905003,MEMORIAL H S,B,'09 - 12,S
'015905010,BEXAR CO J J A E P,Not Rated,'09 - 11,S
'015905015,STEAM AT THE FINE ARTS ACADEMY,C,'09 - 09,S
'015905041,BRENTWOOD MIDDLE,F,'06 - 08,M
'015905042,ALTERNATIVE CENTER,Not Rated,'06 - 12,B
'015905044,E T WRENN MIDDLE,F,'06 - 08,M
'015905046,GUS GARCIA MIDDLE,D,'06 - 08,M
'015905104,ROY CISNEROS EL,C,'PK - 05,E
'015905106,ALONSO S PERALES EL,F,'PK - 05,E
'015905108,GARDENDALE EL,F,'PK - 05,E
'015905109,L B JOHNSON EL,F,'PK - 05,E
'015905110,LAS PALMAS EL,D,'PK - 05,E
'015905112,LOMA PARK EL,F,'PK - 05,E
'015905113,ROOSEVELT EL,F,'KG - 05,E
'015905114,STAFFORD EL,F,'KG - 05,E
'015905116,WINSTON EL,F,'PK - 05,E
'015905117,H B GONZALEZ EL,D,'PK - 05,E
'015905118,CARDENAS CENTER,C,'EE - PK,E
'015905125,STAFFORD CENTER,F,'EE - PK,E
'015906001,RANDOLPH H S,A,'09 - 12,S
'015906041,RANDOLPH MIDDLE,A,'06 - 08,M
'015906101,RANDOLPH EL,A,'EE - 05,E
'015907001,BRACKENRIDGE H S,B,'09 - 12,S
'015907002,BURBANK H S,C,'09 - 12,S
'015907003,EDISON H S,C,'09 - 12,S
'015907004,FOX TECHNICAL H S,A,'09 - 12,S
'015907005,HIGHLANDS H S,C,'09 - 12,S
'015907006,HOUSTON H S,C,'09 - 12,S
'015907007,JEFFERSON H S,C,'09 - 12,S
'015907008,LANIER H S,C,'09 - 12,S
'015907010,ESTRADA ACHIEVEMENT CTR,Not Rated,'06 - 12,B
'015907020,JJA,Not Rated,'07 - 11,S
'015907022,TRAVIS H S,A,'09 - 12,S
'015907023,YOUNG WOMEN'S LEADERSHIP ACADEMY,A,'06 - 12,B
'015907024,COOPER ACADEMY AT NAVARRO,F,'09 - 12,S
'015907025,ST PHILIP'S COLLEGE,A,'09 - 12,S
'015907026,ADVANCED LEARNING ACADEMY,B,'PK - 12,B
'015907027,CAST TECH H S,B,'09 - 10,S
'015907030,TEXANS CAN ACADEMY AT HIGHLANDS H,F,'09 - 12,S
'015907043,DAVIS MIDDLE,D,'06 - 08,M
'015907047,HARRIS MIDDLE,F,'06 - 08,M
'015907049,IRVING MIDDLE,A,'08 - 08,M
